project,date,num_commits
cubed,2022-06-09,4
cubed,2022-06-10,2
cubed,2022-06-11,12
cubed,2022-06-13,4
cubed,2022-06-14,2
cubed,2022-06-15,5
cubed,2022-06-17,4
cubed,2022-06-18,1
cubed,2022-06-19,2
cubed,2022-06-21,1
cubed,2022-06-22,3
cubed,2022-06-23,1
cubed,2022-06-24,3
cubed,2022-06-25,1
cubed,2022-06-26,5
cubed,2022-06-27,7
cubed,2022-06-28,8
cubed,2022-06-29,5
cubed,2022-06-30,4
cubed,2022-07-03,2
cubed,2022-07-04,4
cubed,2022-07-05,4
cubed,2022-07-07,4
cubed,2022-07-08,2
cubed,2022-07-11,8
cubed,2022-07-12,5
cubed,2022-07-13,4
cubed,2022-07-14,7
cubed,2022-07-15,4
cubed,2022-07-16,3
cubed,2022-07-17,3
cubed,2022-07-18,3
cubed,2022-07-22,1
cubed,2022-08-02,2
cubed,2022-08-03,8
cubed,2022-08-04,3
cubed,2022-08-05,1
cubed,2022-08-06,1
cubed,2022-08-07,1
cubed,2022-08-08,1
cubed,2022-08-12,5
cubed,2022-08-13,2
cubed,2022-08-14,1
cubed,2022-08-15,2
cubed,2022-08-16,2
cubed,2022-08-17,4
cubed,2022-08-18,1
cubed,2022-08-22,3
cubed,2022-08-23,5
cubed,2022-08-24,3
cubed,2022-08-25,2
cubed,2022-08-28,2
cubed,2022-08-29,1
cubed,2022-08-31,2
cubed,2022-09-01,2
cubed,2022-09-02,3
cubed,2022-09-05,3
cubed,2022-09-10,1
cubed,2022-09-13,3
cubed,2022-09-14,1
cubed,2022-09-22,1
cubed,2022-09-23,1
cubed,2022-09-25,3
cubed,2022-09-26,1
cubed,2022-09-27,3
cubed,2022-09-29,1
cubed,2022-09-30,2
cubed,2022-10-03,3
cubed,2022-10-04,1
cubed,2022-10-16,2
cubed,2022-10-17,1
cubed,2022-10-19,2
cubed,2022-10-21,2
cubed,2022-11-03,2
cubed,2022-11-04,2
cubed,2022-11-24,1
cubed,2022-12-11,1
cubed,2023-02-16,5
cubed,2023-02-20,1
cubed,2023-02-21,2
cubed,2023-03-15,1
cubed,2023-03-17,8
cubed,2023-03-18,1
cubed,2023-03-21,1
cubed,2023-03-23,1
cubed,2023-03-27,1
cubed,2023-05-11,3
cubed,2023-05-12,5
cubed,2023-05-15,4
cubed,2023-05-19,2
cubed,2023-05-23,1
cubed,2023-05-25,2
cubed,2023-05-30,1
cubed,2023-05-31,5
cubed,2023-06-02,3
cubed,2023-06-03,1
cubed,2023-06-06,3
cubed,2023-06-07,3
cubed,2023-06-08,2
cubed,2023-06-10,1
cubed,2023-06-15,3
cubed,2023-06-16,5
cubed,2023-06-19,1
cubed,2023-06-21,2
cubed,2023-06-26,3
cubed,2023-06-27,1
cubed,2023-06-29,2
cubed,2023-07-01,1
cubed,2023-07-03,3
cubed,2023-07-04,2
cubed,2023-07-05,1
cubed,2023-07-06,4
cubed,2023-07-07,3
cubed,2023-07-10,2
cubed,2023-07-13,2
cubed,2023-07-14,1
cubed,2023-07-15,1
cubed,2023-07-17,1
cubed,2023-07-18,2
cubed,2023-07-19,1
cubed,2023-07-21,3
cubed,2023-07-24,5
cubed,2023-07-25,6
cubed,2023-07-26,1
cubed,2023-07-27,1
cubed,2023-07-28,1
cubed,2023-08-02,2
cubed,2023-08-03,1
cubed,2023-08-14,1
cubed,2023-08-15,2
cubed,2023-08-22,1
cubed,2023-08-23,1
cubed,2023-09-04,1
cubed,2023-09-06,1
cubed,2023-09-07,1
cubed,2023-09-13,1
cubed,2023-09-18,1
cubed,2023-09-25,1
cubed,2023-09-27,1
cubed,2023-09-28,1
cubed,2023-09-29,1
cubed,2023-10-04,1
cubed,2023-10-06,1
cubed,2023-10-13,1
cubed,2023-11-10,1
cubed,2023-11-15,1
cubed,2023-11-16,2
cubed,2023-11-23,2
cubed,2023-11-24,1
cubed,2023-12-06,1
cubed,2023-12-17,1
cubed,2023-12-21,1
cubed,2023-12-22,1
cubed,2024-01-02,1
cubed,2024-01-03,1
cubed,2024-01-04,1
cubed,2024-01-05,1
cubed,2024-01-08,2
cubed,2024-01-16,4
cubed,2024-01-18,3
cubed,2024-01-19,3
cubed,2024-01-20,1
cubed,2024-01-22,2
cubed,2024-01-23,1
cubed,2024-01-25,3
cubed,2024-01-26,3
cubed,2024-01-29,2
cubed,2024-01-30,2
cubed,2024-02-05,2
cubed,2024-02-09,1
cubed,2024-02-11,1
cubed,2024-02-12,4
cubed,2024-02-15,2
cubed,2024-02-16,4
cubed,2024-02-17,2
cubed,2024-02-19,3
cubed,2024-02-21,2
cubed,2024-02-22,5
cubed,2024-02-26,1
cubed,2024-02-27,7
cubed,2024-02-29,1
cubed,2024-03-01,1
cubed,2024-03-04,3
cubed,2024-03-05,1
cubed,2024-03-06,4
cubed,2024-03-08,2
cubed,2024-03-11,2
cubed,2024-03-12,1
cubed,2024-03-13,2
cubed,2024-03-14,1
cubed,2024-03-15,3
cubed,2024-03-18,2
cubed,2024-03-19,1
cubed,2024-03-20,2
cubed,2024-03-21,1
cubed,2024-04-03,1
cubed,2024-04-05,1
cubed,2024-04-12,2
cubed,2024-04-16,2
